"","L2.G_S34","L7.G_S57","L10.G_S59","L11.G_S65","L14.G_S63","L15.G_S68","SN1016.G_S26","L19.G_S67","L21.G_S58","L23.G_S61","L24.G_S62","L29.G_S36","L32.G_S35","L33.G_S66"
"TRINITY_DN715_c0_g1_i3",-0.421886843828549,-0.0711069258474037,-0.230271774883179,-0.427073699532288,-0.432905594234508,-0.430186912556904,-0.0589367039260441,-0.0719771477478454,0.0740056528456479,-0.42935539527321,0.473387323202774,-0.203033267736743,-0.431173198562673,-0.443081193446813
"TRINITY_DN208_c0_g1_i2",-0.296026590194082,-0.313681190315136,-0.310976733429512,0.101789065525356,0.0744681283350937,0.0872131302897279,-0.244958691147995,-0.117833603242862,-0.281157755856187,-0.30386153183866,-0.271292792651735,0.802275674297342,-0.0935335043970285,0.0265642849204219
"TRINITY_DN4970_c0_g1_i2",-0.587913978985874,-0.636805448117485,-0.833843096771569,-0.827109343521985,-0.619899519304409,-0.829422278133817,-0.491495375121009,-0.637341458255409,-0.546742350465601,-0.828804705098962,-0.0981590268580138,-0.827367035447008,-0.830154610877697,-0.838979454504859
"TRINITY_DN721_c0_g2_i2",0.746866761689957,0.658558939339712,0.82124732705361,0.305455056408927,0.510441828850529,0.30003406128167,0.957068726462213,1.14699210563077,0.604186625482426,0.707893619939235,1.61066978713391,0.304851906267284,0.298314112973112,0.277443629262746
"TRINITY_DN1977_c0_g1_i2",4.1454183740686,2.95828264954694,4.18134933640421,4.12797215062467,5.72847745246608,4.45415012591922,3.10616269350862,3.50579003279768,4.32519832414634,4.14514820248709,4.44212267980852,4.90059641385921,5.65563288868734,4.44897703155592
"TRINITY_DN300_c0_g2_i1",-0.491593061404397,-0.538788780721035,-0.724377647703682,-0.717962542473189,-0.722092550704241,-0.720169821002071,-0.391715389440979,-0.127804806877587,-0.451581016960749,-0.340600038723992,-0.683660750145778,-0.718208659176517,-0.517659193346763,-0.729248275032441
"TRINITY_DN810_c0_g1_i4",0.371387626326247,0.687054173165635,0.699685933797853,1.02151045924703,1.19153747435146,1.11268656213717,0.728908351683235,0.686150908078722,0.392450622312085,0.360318368925241,0.406474553226435,0.569866487866266,0.723952878076246,0.795455362720726
"TRINITY_DN5956_c0_g1_i2",-0.27790798170469,-0.300411852453088,-0.296932645555546,0.916753819952308,-0.292583170497195,0.14404014020347,-0.218668414556057,-0.30066081626649,-0.259317190964624,-0.0482637411621733,-0.247152994554385,-0.285255209515913,-0.0546218622780404,1.04647512719924
"TRINITY_DN1745_c1_g1_i1",0.114597324632528,-0.117647597199363,-0.300963985189744,-0.292478238303123,-0.297940818136108,-0.092205026629118,0.0556712719628808,0.172659729799487,-0.0248803216952426,0.0809873429699495,0.221075206327015,-0.292803720233545,-0.0951460613130909,-0.307409907268308
"TRINITY_DN944_c5_g1_i3",1.99235970112862,2.5142547776719,1.45932711444811,1.29673682569834,2.01880079002278,1.80040868874627,2.13596061205496,2.15404792333401,1.95504617700047,2.24629401161289,2.53653498947599,2.06533166079388,1.6493752129787,1.70964538152048
