"","L2.G_S34","L7.G_S57","L10.G_S59","L11.G_S65","L14.G_S63","L15.G_S68","SN1016.G_S26","L19.G_S67","L21.G_S58","L23.G_S61","L24.G_S62","L29.G_S36","L32.G_S35","L33.G_S66"
"TRINITY_DN1683_c0_g1_i1",0,0,2,7,4,0,4,1,3,1,0,15,0,2
"TRINITY_DN14075_c0_g1_i1",29,45,38,24,31,14,11,42,15,37,9,16,33,29
"TRINITY_DN348_c1_g1_i1",2,2,1,6,3,19,4,2,2,2,0,4,2,5
"TRINITY_DN6532_c0_g1_i1",0,1,1,1,0,5,0,0,0,0,1,3,0,0
"TRINITY_DN6012_c0_g1_i10",74,96,28,71,28,202,64,45,40,19,21,91,32,29
"TRINITY_DN4754_c0_g1_i4",9,11,3,12,6,17,7,10,7,7,2,24,6,9
"TRINITY_DN762_c0_g1_i4",0,1,1,2,1,8,0,0,4,1,7,2,3,2
"TRINITY_DN69_c1_g1_i9",1,1,1,0,1,1,0,4,0,2,0,0,4,4
"TRINITY_DN4797_c0_g1_i5",0,0,5,6,3,0,36,8,8,5,0,11,1,11
"TRINITY_DN1689_c0_g1_i6",1,39,42,3,2,8,3,46,3,28,1,3,30,14
"TRINITY_DN7022_c0_g2_i1",0,0,2,16,5,1,12,3,5,2,0,14,7,2
"TRINITY_DN25448_c0_g1_i6",0,0,0,3,1,1,2,1,1,0,0,2,0,0
"TRINITY_DN289_c0_g1_i10",3,8,9,3,4,1,0,6,2,14,1,3,5,3
"TRINITY_DN10238_c0_g1_i1",0,0,1,1,1,5,0,0,2,0,1,1,1,0
"TRINITY_DN5445_c0_g1_i1",4,9,5,0,6,2,0,1,0,4,0,0,2,4
"TRINITY_DN949_c0_g1_i6",0,0,2,1,0,1,0,6,0,1,0,0,12,8
"TRINITY_DN29523_c0_g1_i3",1,0,0,3,1,0,8,1,3,0,0,4,1,4
"TRINITY_DN2103_c0_g1_i1",4,3,2,1,1,1,1,5,1,5,2,0,4,13
"TRINITY_DN4308_c0_g1_i1",3,3,2,1,7,1,0,7,0,2,1,0,6,2
"TRINITY_DN6_c0_g1_i1",18,21,22,24,39,69,11,18,22,20,34,28,25,25
"TRINITY_DN1272_c0_g1_i3",0,0,0,5,1,0,9,2,1,0,0,10,2,5
"TRINITY_DN6573_c0_g1_i1",1,0,4,2,2,0,22,0,1,2,0,8,0,4
"TRINITY_DN94281_c0_g1_i1",2,2,3,2,2,0,0,11,2,1,0,0,5,3
"TRINITY_DN514_c0_g1_i1",6,8,4,1,1,1,0,4,1,3,0,1,4,12
"TRINITY_DN2731_c4_g1_i1",1,2,1,1,2,12,1,0,1,0,2,3,0,1
"TRINITY_DN4732_c0_g1_i2",0,2,0,2,1,5,1,0,2,0,2,0,1,1
"TRINITY_DN760_c0_g1_i9",0,1,1,12,2,7,1,6,4,1,1,23,6,4
"TRINITY_DN4085_c0_g1_i1",16,36,18,10,15,11,4,21,7,26,7,17,24,11
"TRINITY_DN18709_c0_g1_i3",1,0,11,26,10,0,13,7,17,2,0,53,8,16
"TRINITY_DN104_c0_g2_i5",0,0,0,12,10,1,5,0,9,0,5,10,0,0
"TRINITY_DN20744_c0_g1_i2",0,0,5,8,2,0,10,2,2,2,0,13,2,3
"TRINITY_DN4272_c0_g2_i1",1,6,4,0,0,1,0,8,0,2,0,0,5,4
