"","x"
"1","TRINITY_DN2166_c0_g1_i6"
"2","TRINITY_DN3045_c1_g1_i1"
"3","TRINITY_DN4986_c0_g1_i3"
"4","TRINITY_DN109163_c0_g1_i1"
"5","TRINITY_DN4562_c0_g2_i2"
"6","TRINITY_DN5133_c0_g2_i2"
"7","TRINITY_DN38991_c0_g1_i1"
"8","TRINITY_DN104_c0_g2_i5"
"9","TRINITY_DN4085_c0_g1_i1"
