Run ID,Sample,Sample,Test Date,Qubit® tube conc.,Units,Original sample conc.,Units,Sample Volume (µL),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Emission,Green RFU,Far Red RFU
2019-08-15_161026,RNA High sensitivity,348,8/15/19 16:15,272,ng/mL,54.4,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,941.99
2019-08-15_161026,RNA High sensitivity,345,8/15/19 16:15,950,ng/mL,190,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,2354.53
2019-08-15_161026,RNA High sensitivity,344,8/15/19 16:15,125,ng/mL,25,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,486.05
2019-08-15_161026,RNA High sensitivity,339,8/15/19 16:15,386,ng/mL,77.2,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,1253.2
2019-08-15_161026,RNA High sensitivity,338,8/15/19 16:15,408,ng/mL,81.6,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,1309.1
2019-08-15_161026,RNA High sensitivity,335,8/15/19 16:14,Out of range,ng/mL,Out of range,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,2705.03
2019-08-15_161026,RNA High sensitivity,334,8/15/19 16:14,324,ng/mL,64.8,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,1086.64
2019-08-15_161026,RNA High sensitivity,329,8/15/19 16:14,810,ng/mL,162,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,2133.65
2019-08-15_161026,RNA High sensitivity,325,8/15/19 16:14,900,ng/mL,180,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,2285.03
2019-08-15_161026,RNA High sensitivity,324,8/15/19 16:14,860,ng/mL,172,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,2215.06
2019-08-15_161026,RNA High sensitivity,321,8/15/19 16:14,740,ng/mL,148,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,2007.47
2019-08-15_161026,RNA High sensitivity,319,8/15/19 16:13,388,ng/mL,77.6,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,1259.12
2019-08-15_161026,RNA High sensitivity,317,8/15/19 16:13,Out of range,ng/mL,Out of range,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,2596.46
2019-08-15_161026,RNA High sensitivity,316,8/15/19 16:13,Out of range,ng/mL,Out of range,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,2601.4
2019-08-15_161026,RNA High sensitivity,315,8/15/19 16:13,Out of range,ng/mL,Out of range,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,2632.38
2019-08-15_161026,RNA High sensitivity,309,8/15/19 16:13,Out of range,ng/mL,Out of range,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,2843.31
2019-08-15_161026,RNA High sensitivity,306,8/15/19 16:13,680,ng/mL,136,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,1906.71
2019-08-15_161026,RNA High sensitivity,305,8/15/19 16:12,376,ng/mL,75.2,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,1225.57
2019-08-15_161026,RNA High sensitivity,304,8/15/19 16:12,1000,ng/mL,200,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,2434.89
2019-08-15_161026,RNA High sensitivity,299,8/15/19 16:12,252,ng/mL,50.4,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,882.48
2019-08-15_161026,RNA High sensitivity,298,8/15/19 16:12,910,ng/mL,182,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,2299.34
2019-08-15_161026,RNA High sensitivity,295,8/15/19 16:12,178,ng/mL,35.6,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,656.41
2019-08-15_161026,RNA High sensitivity,294,8/15/19 16:12,550,ng/mL,110,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,1646
2019-08-15_161026,RNA High sensitivity,291,8/15/19 16:11,790,ng/mL,158,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,2102.73
